index;lvl;lvl req;*type;prop1;par1;min1;max1;prop2;par2;min2;max2;prop3;par3;min3;max3;prop4;par4;min4;max4;prop5;par5;min5;max5;prop6;par6;min6;max6;prop7;par7;min7;max7;prop8;par8;min8;max8;prop9;par9;min9;max9;prop10;par10;min10;max10;prop11;par11;min11;max11;prop12;par12;min12;max12;imagename
Alma Negra;79;71;sacred rondache;Armor Class %;;180;210;Increased Block %;;30;30;Paladin Skills;;1;2;Faster Block %;;20;20;red-mag;;5;9;Attack Bonus %;;40;75;Damage %;;40;75;;;;;;;;;;;;;;;;;;;;;alma
Andariel's Visage;79;77;demonhead;Armor Class %;;100;150;res-pois;;70;70;All Skills;;2;2;res-pois-max;;10;10;Attack Speed %;;20;20;Strength;;25;30;Gethit-Skill;92;15;15;Charges;278;20;3;Lifesteal;;8;10;res-fire;;-30;-30;;;;;;;;;andys
Annihilus;102;65;charm;All Skills;;1;1;all-stats;;10;20;All Resists;;10;20;Extra XP;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;anni
Arachnid Mesh;80;74;spiderweb sash;Armor Class %;;90;120;Cast Speed %;;20;20;Charges;Venom;11;3;All Skills;;1;1;Slow Target %;;10;10;Mana %;;5;5;;;;;;;;;;;;;;;;;;;;;;;;;arachnidmesh
Arioc's Needle;79;75;hyperion spear;Damage %;;180;230;dmg-pois;250;403;403;Deadly Strike;;50;50;Ignore Armor;;1;1;All Skills;;2;4;Attack Speed %;;30;30;;;;;;;;;;;;;;;;;;;;;;;;;ariocsneedle
Arkaine's Valor;79;79;Balrog Skin;Armor Class %;;150;180;Hit Recovery %;;30;30;All Skills;;1;2;Reduce Dmg;;10;15;vit/lvl;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;arkaines
Arm of King Leoric;41;32;Tomb Wand;Class Skill Tab;8;2;2;Gethit-Skill;93;5;10;mana/lvl;10;;;Gethit-Skill;87;10;2;Cast Speed %;;10;10;Class Skill Tab;7;2;2;Class Skill;77;2;2;Class Skill;80;2;2;Class Skill;69;3;3;Class Skill;70;3;3;;;;;;;;;arm
Arreat's Face;46;39;Slayer Guard;Barbarian Skills;;2;2;Class Skill Tab;12;2;2;Armor Class %;;150;200;Hit Recovery %;;30;30;Attack Bonus %;;20;20;Strength;;20;20;Dexterity;;20;20;Lifesteal;;3;6;All Resists;;30;30;;;;;;;;;;;;;arreats
Athena's Wrath;46;39;Battle Scythe;Druid Skills;;1;3;Dexterity;;15;15;Attack Speed %;;30;30;hp/lvl;8;;;dmg/lvl;8;;;Damage %;;150;180;;;;;;;;;;;;;;;;;;;;;;;;;athenaswrath
Atma's Wail;55;47;Embossed Plate;Dexterity;;15;15;Replenish Life;;10;10;Mana %;;15;15;Hit Recovery %;;30;30;ac/lvl;16;;;Extra Durability;;50;50;Armor Class %;;120;160;Magic Find %;;20;20;;;;;;;;;;;;;;;;;atmaswail
