name;type;slot;mindam;maxdam;2handmindam;2handmaxdam;reqstr;reqdex;imagefile;speed;spawnable;mindam;maxdam;1or2handed;2handed;2handmindam;2handmaxdam;minmisdam;maxmisdam;;rangeadder;speed;StrBonus;DexBonus;reqstr;reqdex;durability;nodurability;level;levelreq;cost;gamble cost;magic lvl;auto prefix;OpenBetaGfx;normcode;ubercode;ultracode;wclass;2handedwclass;component;hit class;invwidth;invheight;stackable;minstack;maxstack;spawnstack;flippyfile;invfile;uniqueinvfile;setinvfile;hasinv;gemsockets;gemapplytype;special;useable;dropsound;dropsfxframe;usesound;unique;transparent;transtbl;quivered;lightradius;belt;quest;questdiffcheck;missiletype;durwarning;qntwarning;gemoffset;bitfield1;CharsiMin;CharsiMax;CharsiMagicMin;CharsiMagicMax;CharsiMagicLvl;GheedMin;GheedMax;GheedMagicMin;GheedMagicMax;GheedMagicLvl;AkaraMin;AkaraMax;AkaraMagicMin;AkaraMagicMax;AkaraMagicLvl;FaraMin;FaraMax;FaraMagicMin;FaraMagicMax;FaraMagicLvl;LysanderMin;LysanderMax;LysanderMagicMin;LysanderMagicMax;LysanderMagicLvl;DrognanMin;DrognanMax;DrognanMagicMin;DrognanMagicMax;DrognanMagicLvl;HraltiMin;HraltiMax;HraltiMagicMin;HraltiMagicMax;HratliMagicLvl;AlkorMin;AlkorMax;AlkorMagicMin;AlkorMagicMax;AlkorMagicLvl;OrmusMin;OrmusMax;OrmusMagicMin;OrmusMagicMax;OrmusMagicLvl;ElzixMin;ElzixMax;ElzixMagicMin;ElzixMagicMax;ElzixMagicLvl;AshearaMin;AshearaMax;AshearaMagicMin;AshearaMagicMax;AshearaMagicLvl;CainMin;CainMax;CainMagicMin;CainMagicMax;CainMagicLvl;HalbuMin;HalbuMax;HalbuMagicMin;HalbuMagicMax;HalbuMagicLvl;JamellaMin;JamellaMax;JamellaMagicMin;JamellaMagicMax;JamellaMagicLvl;LarzukMin;LarzukMax;LarzukMagicMin;LarzukMagicMax;LarzukMagicLvl;DrehyaMin;DrehyaMax;DrehyaMagicMin;DrehyaMagicMax;DrehyaMagicLvl;MalahMin;MalahMax;MalahMagicMin;MalahMagicMax;MalahMagicLvl;Source Art;Game Art;Transform;InvTrans;SkipName;NightmareUpgrade;HellUpgrade
Hand Axe;axe;1h;2;2;;;0;0;handaxe.gif;;1;2;2;;;;;;;;;;100;25;0;0;28;;2;1;201;2255;;308;hax;hax;9ha;7ha;1hs;1hs;5;1hsl;1;3;;;;;flphax;invhax;invhaxu;invhaxu;1;2;0;;0;item_smallmetalweapon;12;item_smallmetalweapon;0;0;5;0;0;0;;;35;7;0;0;3;1;1;1;2;5;1;1;;;5;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;2;20;;;;;255;;;;;255;;;2;2;0;9ha;7ha
Axe;axe;1h;4;11;;;27;0;axe.gif;10;1;2;5;;;;;;;;1;10;100;25;27;0;24;;5;4;478;4411;;308;axe;axe;9ax;7ax;1hs;1hs;5;1hsl;2;3;;;;;flpaxe;invaxe;invaxeu;invaxeu;1;4;0;;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;1;2;1;1;5;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;125;;;;;255;;;;;255;;;;;255;;;;;255;1;2;1;1;20;;;;;255;;;;;255;;;2;2;0;9ax;7ax
Double Axe;axe;1h;2;5;;;37;0;doubleaxe.gif;10;1;2;5;;;;;;;;1;10;100;25;37;0;24;;10;9;1033;10175;;308;axe;2ax;92a;72a;1hs;1hs;5;1hsl;2;3;;;;;flp2ax;inv2ax;;;1;5;0;;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;1;1;;2;20;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;2;2;0;92a;72a
Military Pick;axe;1h;3;5;;;42;28;militarypick;-10;1;3;5;;;;;;;;1;-10;100;25;42;28;26;;14;13;1680;19500;;308;axe;mpi;9mp;7mp;1hs;1hs;5;1hsl;2;3;;;;;flpmpi;invmpi;invmpiu;invmpiu;1;6;0;;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;1;1;1;2;15;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;;;2;2;0;9mp;7mp
War Axe;axe;1h;10;18;;;59;0;waraxe.gif;;1;4;7;;;;;;;;2;;100;25;59;0;26;;19;18;2510;34038;;308;hax;wax;9wa;7wa;1hs;1hs;5;1hsl;2;3;;;;;flpwax;invwax;;;1;6;0;;0;item_sword;12;item_sword;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;1;2;1;1;15;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;3;20;;;;;255;1;1;1;3;20;;;;;255;;;;;255;;;2;2;0;9wa;7wa
Large Axe;axe;2h;;;2;5;30;0;largeaxe.gif;-10;1;;;;1;2;5;;;;1;-10;100;25;30;0;30;;5;4;418;3812;;308;lax;lax;9la;7la;stf;stf;5;2hsl;2;3;;;;;flplax;invlax;;;1;4;0;;0;item_largemetalweapon;12;item_largemetalweapon;0;0;5;0;0;0;;;0;7;0;0;3;1;2;1;1;5;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;1;2;1;1;20;;;;;255;;;;;255;;;2;2;0;9la;7la
Broad Axe;axe;2h;;;4;7;41;0;broadaxe.gif;;1;;;;1;4;7;;;;1;;100;25;41;0;35;;9;8;952;9086;;308;lax;bax;9ba;7ba;stf;stf;5;2hsl;2;3;;;;;flpbrx;invbrx;;;1;5;0;;0;item_largemetalweapon;12;item_largemetalweapon;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;1;1;1;2;5;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;2;2;0;9ba;7ba
Battle Axe;axe;2h;;;5;12;46;0;battleaxe.gif;10;1;;;;1;5;12;;;;1;10;100;25;46;0;40;;13;12;1491;16227;;308;lax;btx;9bt;7bt;stf;stf;5;2hsl;2;3;;;;;flpbtx;invbtx;invbtxu;invbtxu;1;5;0;;0;item_largemetalweapon;12;item_largemetalweapon;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;1;1;1;2;15;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;5;2;0;9bt;7bt
Great Axe;axe;2h;;;4;11;55;34;greataxe.gif;-10;1;;;;1;4;11;;;;2;-10;100;25;55;34;50;;17;16;2263;29034;;308;lax;gax;9ga;7ga;stf;stf;5;2hsl;2;4;;;;;flpgax;invgax;invgaxu;invgaxu;1;6;0;;0;item_largemetalweapon;12;item_largemetalweapon;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;1;2;1;1;15;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;2;2;0;9ga;7ga
Giant Axe;axe;2h;;;8;17;61;0;giantaxe.gif;10;1;;;;1;8;17;;;;3;10;100;25;61;0;50;;20;19;2847;40535;;308;lax;gix;9gi;7gi;stf;stf;5;2hsl;2;3;;;;;flpgix;invgix;;;1;6;0;;0;item_largemetalweapon;12;item_largemetalweapon;0;0;5;0;0;0;;;0;7;0;0;3;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;;;;;255;1;2;1;2;20;;;;;255;1;1;1;1;20;;;;;255;;;;;255;;;;;255;1;1;2;2;20;;;;;255;;;;;255;1;1;1;1;20;;;;;255;;;2;2;0;9gi;7gi
