index;lvl;lvl req;*type;prop1;par1;min1;max1;prop2;par2;min2;max2;prop3;par3;min3;max3;prop4;par4;min4;max4;prop5;par5;min5;max5;prop6;par6;min6;max6;prop7;par7;min7;max7;prop8;par8;min8;max8;prop9;par9;min9;max9;prop10;par10;min10;max10;prop11;par11;min11;max11;prop12;par12;min12;max12
The Gnasher;6;4;Hand Axe;Strength;;8;8;Openwounds;;50;50;Crushing Blow;;20;20;Damage %;;60;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deathspade;10;8;Axe;Blind Target;;1;1;dmg-min;;8;8;Attack Bonus %;;15;15;Mana per Kill;;4;4;Damage %;;60;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bladebone;17;13;Double Axe;Dmg % to Undead;;100;100;att-undead;;40;40;Attack Speed %;;20;20;Armor Class;;20;20;fire-min;;8;8;fire-max;;12;12;Damage %;;30;50;;;;;;;;;;;;;;;;;;;;
Mindrend;25;18;Military Pick;Blind Target;;2;2;regen-mana;;20;20;ltng-min;;1;1;ltng-max;;12;15;Attack Rating;;50;100;Damage %;;60;100;Openwounds;;15;15;;;;;;;;;;;;;;;;;;;;
Rakescar;32;24;War Axe;pois-min;;128;128;pois-max;;128;128;pois-len;;75;75;Attack Rating;;50;50;res-pois;;50;50;Damage %;;75;150;Attack Speed %;;30;30;;;;;;;;;;;;;;;;;;;;
Fechmars Axe;9;7;Large Axe;Damage %;;70;90;Freeze Duration;;3;3;res-cold;;50;50;Light Radius;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Goreshovel;16;12;Broad Axe;Attack Speed %;;30;30;Strength;;25;25;Openwounds;;60;60;Damage %;;40;50;dmg-max;;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Chieftan;23;16;Battle Axe;Damage %;;100;100;All Resists;;10;20;Mana per Kill;;6;6;Attack Speed %;;20;20;dmg-ltng;;1;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brainhew;30;22;Great Axe;dmg-min;;14;14;Mana Points;;25;25;Light Radius;;4;4;Manasteal;;10;13;Damage %;;50;80;dmg-fire;;15;35;;;;;;;;;;;;;;;;;;;;;;;;
The Humongous;34;25;Giant Axe;Strength;;20;30;dmg-min;;8;8;dmg-max;;15;25;Crushing Blow;;33;33;Reduce Req %;;20;20;Damage %;;80;120;;;;;;;;;;;;;;;;;;;;;;;;
Iros Torch;6;4;Wand;Necro Skills;;1;1;Lifesteal;;6;6;dmg-fire;;5;9;Light Radius;;3;3;Energy;;10;10;regen-mana;;5;5;;;;;;;;;;;;;;;;;;;;;;;;
Maelstromwrath;16;12;Yew Wand;ltng-min;;1;1;ltng-max;;9;9;res-ltng;;40;40;Mana Points;;13;13;Cast Speed %;;30;30;Class Skill;74;1;3;Class Skill;77;1;3;Class Skill;66;1;3;Class Skill;76;1;3;;;;;;;;;;;;
Gravenspine;24;17;Bone Wand;Strength;;10;10;Dexterity;;10;10;cold-min;;4;4;cold-max;;8;8;cold-len;;75;75;Manasteal;;5;5;Necro Skills;;2;2;Mana Points;;25;50;;;;;;;;;;;;;;;;
Umes Lament;33;25;Grim Wand;Necro Skills;;2;2;Mana Points;;40;40;Cast Speed %;;20;20;howl;;64;64;Class Skill;77;3;3;Class Skill;87;2;2;;;;;;;;;;;;;;;;;;;;;;;;
Felloak;3;3;Club;res-ltng;;60;60;res-fire;;20;20;Knockback;;1;1;fire-min;;6;6;fire-max;;8;8;Damage %;;70;80;;;;;;;;;;;;;;;;;;;;;;;;
Knell Striker;6;4;Scepter;Crushing Blow;;25;25;res-fire;;20;20;res-pois;;20;20;Mana Points;;15;15;Attack Rating;;35;35;Damage %;;70;80;;;;;;;;;;;;;;;;;;;;;;;;
Rusthandle;20;14;Grand Scepter;Paladin Skills;;1;1;dmg-norm;;3;7;red-mag;;1;1;Lifesteal;;8;8;Damage %;;50;60;Dmg % to Undead;;50;60;Class Skill;111;1;3;Class Skill;103;3;3;;;;;;;;;;;;;;;;
Stormeye;27;20;War Scepter;dmg-ltng;;1;6;dmg-cold;75;3;5;Replenish Life;;10;10;Damage %;;80;120;Class Skill;110;3;5;Class Skill;118;3;3;Class Skill;121;1;1;;;;;;;;;;;;;;;;;;;;
Stoutnail;6;4;Spiked Club;Thorns;;3;10;Damage %;;100;100;Vitality;;7;7;red-mag;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crushflange;10;8;Mace;Strength;;15;15;Knockback;;1;1;Light Radius;;2;2;res-fire;;50;50;Damage %;;50;60;Crushing Blow;;33;33;;;;;;;;;;;;;;;;;;;;;;;;
Bloodrise;17;13;Morning Star;Damage %;;120;120;Attack Bonus %;;50;50;Openwounds;;25;25;Light Radius;;2;2;Attack Speed %;;10;10;Class Skill;96;3;3;Lifesteal;;5;5;;;;;;;;;;;;;;;;;;;;
The Generals Tan Do Li Ga;25;18;Flail;dmg-min;;1;1;dmg-max;;20;20;Slow Target %;;50;50;Armor Class;;25;25;Manasteal;;5;5;Damage %;;50;60;Attack Speed %;;20;20;;;;;;;;;;;;;;;;;;;;
Ironstone;32;24;War Hammer;Attack Rating;;100;150;Damage %;;100;150;ltng-min;;1;1;ltng-max;;10;10;Strength;;10;10;*enr;;-5;-5;;;;;;;;;;;;;;;;;;;;;;;;
Bonesob;28;21;Maul;Damage %;;200;300;Crushing Blow;;40;40;res-fire;;30;30;res-cold;;30;30;Dmg % to Undead;;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;
